date,team,home_rating,away_rating
2014-08-16,Wolfsberger AC,0.25867511418964934,0.12625790931348324
2014-08-23,Wolfsberger AC,0.3152063866214669,0.21105481796120956
2014-08-30,Wolfsberger AC,0.18574722340795025,0.12474870915219846
2014-09-14,Wolfsberger AC,0.31803265478528386,0.21293899673708755
2014-09-20,Wolfsberger AC,0.23037995876170886,0.08145995270172507
2014-09-27,Wolfsberger AC,0.281473459802219,0.11552228672873183
2014-10-04,Wolfsberger AC,0.3633001589351368,0.23826233542810854
2014-10-18,Wolfsberger AC,0.2547528186820745,0.16589744192606698
2014-10-25,Wolfsberger AC,0.2309480484302951,0.15002759509154737
2014-11-01,Wolfsberger AC,0.16280809912498245,0.04781767113357842
2014-11-08,Wolfsberger AC,0.04072666373711731,-0.03356995245833168
